Streptococcus agalactiae
Streptococcus anginosus
Streptococcus cristatus
Streptococcus dysgalactiae
Streptococcus entericus
Streptococcus gallolyticus
Streptococcus mitis
Streptococcus parasanguinis
Streptococcus parauberis
Streptococcus plurextorum
Streptococcus porcinus
Streptococcus pyogenes
Streptococcus salivarius
Streptococcus suis
Streptococcus thermophilus
Streptococcus urinalis
Streptomyces roseoverticillatus
Tepidimonas taiwanensis
Terrabacter sp.
Tessaracoccus massiliensis
Thauera humireducens
Thermus scotoductus
Trueperella pyogenes
Veillonella sp.
Vibrio alginolyticus
Vibrio cholerae
Vibrio diazotrophicus
Vibrio metschnikovii
Vibrio scophthalmi
Weeksella massiliensis
Weissella confusa
Xanthomonas sp.
Yokenella regensburgei
Clostridium leptum
Enterobacter lignolyticus
gamma proteobacterium
